List,Scope,SeedStruct,SeedSumCat,n,Hits,P %,Wilson LB %
L4_HHHH,DOUBLE × High,DOUBLE,High,13,13,100.0,77.19
L3_HHH,DOUBLE × High,DOUBLE,High,13,12,92.31,66.69
L4_HHCD,DOUBLE × High,DOUBLE,High,13,12,92.31,66.69
L3_HHD,DOUBLE × High,DOUBLE,High,13,11,84.62,57.76
L3_HHC,DOUBLE × High,DOUBLE,High,13,11,84.62,57.76
L4_HHDD,DOUBLE × High,DOUBLE,High,13,11,84.62,57.76
L3_HCD,DOUBLE × High,DOUBLE,High,13,10,76.92,49.74
L4_HHHH,DOUBLE × Low,DOUBLE,Low,161,153,95.03,90.5
L4_HHDD,DOUBLE × Low,DOUBLE,Low,161,152,94.41,89.72
L4_HHCD,DOUBLE × Low,DOUBLE,Low,161,147,91.3,85.93
L3_HHH,DOUBLE × Low,DOUBLE,Low,161,142,88.2,82.3
L3_HHD,DOUBLE × Low,DOUBLE,Low,161,140,86.96,80.88
L3_HHC,DOUBLE × Low,DOUBLE,Low,161,137,85.09,78.78
L3_HCD,DOUBLE × Low,DOUBLE,Low,161,129,80.12,73.29
L4_HHDD,DOUBLE × Mid,DOUBLE,Mid,125,121,96.8,92.06
L4_HHCD,DOUBLE × Mid,DOUBLE,Mid,125,119,95.2,89.92
L4_HHHH,DOUBLE × Mid,DOUBLE,Mid,125,114,91.2,84.93
L3_HHD,DOUBLE × Mid,DOUBLE,Mid,125,109,87.2,80.22
L3_HHH,DOUBLE × Mid,DOUBLE,Mid,125,106,84.8,77.48
L3_HCD,DOUBLE × Mid,DOUBLE,Mid,125,105,84.0,76.58
L3_HHC,DOUBLE × Mid,DOUBLE,Mid,125,101,80.8,73.02
L4_HHHH,DOUBLE × Very Low,DOUBLE,Very Low,68,64,94.12,85.83
L4_HHCD,DOUBLE × Very Low,DOUBLE,Very Low,68,64,94.12,85.83
L4_HHDD,DOUBLE × Very Low,DOUBLE,Very Low,68,62,91.18,82.06
L3_HHH,DOUBLE × Very Low,DOUBLE,Very Low,68,59,86.76,76.72
L3_HCD,DOUBLE × Very Low,DOUBLE,Very Low,68,58,85.29,75.0
